,trade_date,trade_time,open,high,low,close,volume,oi,contract,period_name
164,2023-04-26,11:30:00,7578.0,7584.0,7574.0,7578.0,4689.0,535984.0,y2309,5m
165,2023-04-26,13:35:00,7576.0,7580.0,7568.0,7570.0,12589.0,535585.0,y2309,5m
166,2023-04-26,13:40:00,7572.0,7576.0,7564.0,7570.0,6933.0,535652.0,y2309,5m
167,2023-04-26,13:45:00,7570.0,7582.0,7568.0,7576.0,6129.0,536544.0,y2309,5m
168,2023-04-26,13:50:00,7578.0,7580.0,7564.0,7570.0,5853.0,537223.0,y2309,5m
169,2023-04-26,13:55:00,7570.0,7572.0,7560.0,7570.0,5654.0,537486.0,y2309,5m
170,2023-04-26,14:00:00,7570.0,7580.0,7568.0,7574.0,9715.0,538680.0,y2309,5m
171,2023-04-26,14:05:00,7574.0,7578.0,7570.0,7576.0,4025.0,539071.0,y2309,5m
172,2023-04-26,14:10:00,7574.0,7588.0,7572.0,7576.0,12557.0,539416.0,y2309,5m
173,2023-04-26,14:15:00,7578.0,7578.0,7568.0,7570.0,8326.0,540193.0,y2309,5m
174,2023-04-26,14:20:00,7570.0,7580.0,7566.0,7566.0,9250.0,541319.0,y2309,5m
175,2023-04-26,14:25:00,7568.0,7572.0,7560.0,7568.0,6806.0,540972.0,y2309,5m
176,2023-04-26,14:30:00,7570.0,7582.0,7568.0,7580.0,8142.0,541590.0,y2309,5m
177,2023-04-26,14:35:00,7578.0,7618.0,7578.0,7608.0,27846.0,541347.0,y2309,5m
178,2023-04-26,14:40:00,7608.0,7610.0,7596.0,7600.0,8685.0,541674.0,y2309,5m
179,2023-04-26,14:45:00,7598.0,7606.0,7594.0,7598.0,6928.0,542081.0,y2309,5m
180,2023-04-26,14:50:00,7596.0,7598.0,7578.0,7586.0,12162.0,541696.0,y2309,5m
181,2023-04-26,14:55:00,7586.0,7596.0,7584.0,7592.0,5713.0,541566.0,y2309,5m
182,2023-04-26,15:00:00,7592.0,7600.0,7588.0,7598.0,12923.0,538513.0,y2309,5m
183,2023-04-26,21:05:00,7580.0,7580.0,7552.0,7576.0,32988.0,536338.0,y2309,5m
184,2023-04-26,21:10:00,7576.0,7580.0,7564.0,7578.0,10785.0,537437.0,y2309,5m
185,2023-04-26,21:15:00,7576.0,7596.0,7572.0,7594.0,17303.0,541774.0,y2309,5m
